Company,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3
"CLINICAL INK, INC",99712.79,91384.06,173986.58,139869.8,330139.19,122415.79,102788.53,120121.32
CLINICAL INNOVATIONS,193832.87,207222.76,255269.77,220136.74,165652.54,170209.16,218085.78,235748.7
CLINICAL MANAGEMENT CONCEPTS,454652.12,452856.78,544306.87,839123.37,658447.32,1047567.22,689957.23,761409.76
CLINICAL RESEARCH MANAGEMENT,419538.44,299861.83,521611.71,381175.43,425586.55,172508.1,322317.26,209527.98
CLIPS & CLAMPS INDUSTRIES,36162.28,31442.16,36604.59,19722.83,30650.61,53506.83,29032.33,30942
CLOROX AUSTRALIA PTY LIMITED,45332.31,44734.05,60894.77,35898.82,51504.28,51165.92,74249.95,68916.23
CLOUDBLUE TECHNOLOGIES,288495.28,214137.08,193798.53,196995.13,224052.91,196692.43,180044.14,186324.3
CLOUDMARK INC,372556.05,442650.15,349177.28,338346.81,345810.86,309910.03,278003.47,249652.23
"CLOVERLAY PARTNERS MANAGEMENT COMPANY, LLC",60750.91,34624.36,61833.55,48752.87,63877.79,63672.46,68115.53,70608.48
CLOVIS ONCOLOGY,686817.88,1238898.33,1291623.64,1295694.42,1472779.27,1872193.48,2085524.32,2059865.15
CLS PARTNERS,77580.56,61218.48,82775,68512.88,154964.06,81470.76,84215.91,79508.28
CLS UK INTERMEDIATE HOLDINGS LIMITED,532261.02,386543.5,452120.05,380970.51,516161.97,462297.6,501452.95,612753.19
CLUB ASSIST PTY LTD,265889.56,182211.34,252775.27,263905.76,264184.6,221723.31,299783.8,299718.44
CLUB PROPHET SYSTEMS,14905.49,76824.8,54321.92,25061.6,21516.86,58377.76,81471.53,19031.1
"CLUNE CONSTRUCTION COMPANY, L.P.",804699.3,792726.52,670649.4,848980.01,947498.36,1011952.37,968834.45,1062071.84
"CLUTCH GROUP, LLC",42866.78,59785.42,40532.35,34423.39,43096.91,69687.29,90131.87,83783.77
CLUTCH INC,55645.48,37749.83,36294.23,38600.88,50936.58,75439.77,79969.17,41866.77
CLUTTONS LLP,168839.99,154762.94,178915.3,142770.62,139512.48,129093.54,154370.35,145767.26
"CMC RESCUE, INC.",148762.16,152895.52,187589.54,126561.02,147879.66,132721.96,153230.67,183465.15
"CME WIRE & CABLE, INC",270026.41,137864.61,202827.86,196181.11,260284.26,213237.01,229836.86,228624.63
CMG FINANCIAL,825189.5,594872.71,699111.24,904146.53,773185.51,787496.69,822257.08,1187887.02
"CMI - VANTAGE PARTNERS, LLC",1190156.39,747174.09,1172692.11,862590.82,1307206.57,557977.47,781346.36,812577.8
CMS DISTRIBUTION LTD,148784.97,172195.2,123983.68,186095.4,109897.39,212880.03,163319.06,205574.1
COACHES TRAINING INSTITUTE,1249043.28,441893.77,440050.83,378042.59,465104.79,427445.58,476383.98,307973.32
COACTIVE TECHNOLOGIES,59981.48,96375.13,113699.43,105300.34,107627.12,121500.89,154705.72,171198.82
COALITION OF KAISER PERMANENTE,120760.08,109220.4,107512.25,112053.68,112343.96,98832.97,121736.31,99215.22
COAST PRODUCE COMPANY,63236.07,41497.18,44206.1,53042.53,42756.12,45301.03,57593.93,63053.16
COATINGS AND ADHESIVES CORPORATION,133220.98,157597.49,151593.31,203206.57,143096.44,167478.96,133119.16,156079.42
"COBALT INTERNATIONAL ENERGY, INC.",960320.05,358374.25,328058.04,210682.84,195046.36,147384.62,184000.46,157265.91
"COBB VANTRESS, INC",2280856.18,2511970.93,2519601.68,2743693.1,2655222.83,2427811.31,2673346.6,2999733.73
"COBBS, ALLEN & HALL, INC",336731.87,388723.97,419728.62,413314.64,402130.15,471146.83,505814.49,507460.48
"COCHLEAR, INC.",1848442.72,1432924.05,1954967.79,1865540.68,2287069.11,2356261.74,2369413.96,2604089.26
COCHRANE AND COMPANY,174371.19,116636.92,187471.62,131822.02,226238.41,170582.56,149274.06,160382.95
"CODE 3, INC.",151579.9,169461.94,151403.48,117284.03,107485.65,130959.26,126085.3,145929.44
CODE 42 SOFTWARE,722494.45,488467.16,665675.6,705384,763697.71,646915.08,812230.66,809720.39
CODEXIS,166778.79,180797.62,163474.93,145267.32,177900.93,237660.31,315319.48,155368.09
"CODI, INC.",77771.38,73999.56,47796.89,70617.39,47732.32,43851.2,48737.15,40304.75
"COFFEY COMMUNICATIONS, INC.",64543.76,25480.63,60824.01,36664.09,54811.71,47497.22,68606.65,51155.45
COFFMAN ENGINEERS INC,800540.41,613007.85,834718.41,898739.29,774269.56,856342.94,983834.66,883233.13
COFRA NORTH AMERICA,744997.49,371360.33,403432.67,412644.5,767405.14,427793.16,183388.48,379322.21
"COGENTIX MEDICAL, INC.",723057.26,656837.95,747625.91,747459.08,700420.22,787861.08,897215.57,789066.72
COGSTATE LTD,261752.67,216301.34,203883.48,155206.73,242588.84,257889.31,308710.13,278863.21
COHEN AND STEERS,1278217.26,951388.74,943818.28,722476.79,1010845.37,739978.07,943675.93,853758.15
COHEN BROWN MANAGEMENT GROUP,217373.46,169422.27,228199.81,160299.98,128421.46,219024.66,218883.98,113408.63
COLA INC.,288026.93,263296.11,310141.87,274447.34,281911.29,238024.9,316148.94,286252.92
"COLBECK CAPITAL MANAGEMENT, LLC",513519.19,506276.13,489543.83,328134.41,380676.49,360999.09,457089.59,554911.85
"COLBORNE FOODBOTICS, LLC",15934.1,29563.44,34104.02,24055.33,29221.43,24218.32,22321.23,8414.07
"COLD JET, LLC",346120.71,300472.72,353092.16,394360.13,367877.22,403260.02,476317.31,366836.71
"COLE CAPITAL PARTNERS, LLC.",1207132.9,868490.87,959168.91,943194.29,895325.12,688400.5,871725.6,901739.46
COLE HAAN,1088583.78,1010257.68,950762.56,1125965.56,929748.86,703695.29,722021.55,792475.07
COLE-PARMER INSTRUMENT COMPANY,325601.56,461309.95,434046.15,560464.57,557196.38,537107.04,607404.09,526378.5
"COLLABNET, INC.",339658.12,337303.71,228883.03,269139.57,271748.95,244185.11,292142.73,175291.04
"COLLECTIONS MARKETING CENTER, INC",37558.46,41125.57,42518.25,43249.7,34648.9,43387.34,31361.16,50229.79
"COLLECTIVE DIGITAL STUDIO, LP.",69486.92,56550.83,50121.05,52818.58,65572.93,104161.78,121692.17,142869.03
COLLECTIVE MEDIA INC,953360.01,380925.21,381291.24,392115.86,417921.58,309267.7,241741.89,165107.12
COLLEGE BOREAL DARTS APPLIQUE ET DE TECHNOLOGIE,241126.16,242199.52,191919.16,165474.77,233924.34,242985.4,141644.3,140185.11
COLLEGE FUTURES FOUNDATION,28886.2,24711.16,35894.8,29580.27,43942.03,38195.09,45441.8,21319.7
"COLLEGE LIVING EXPERIENCE, LLC",173375.91,202521.47,270540.71,228716.74,210321.52,236884.88,241586.83,287191.43
COLLEGE LOAN CORPORATION,68782.99,69808.38,75235,57069.84,67189.49,94590.86,99174.98,42635.53
COLLINS CAPITAL INVESTMENTS LLC,37527.15,4840.09,28432.62,18320.83,23921.84,16350.23,15981.89,18302.93
COLLINS COMPANY,668360.77,548184.85,582115.47,651839.54,609396.47,513356.42,543996.22,499004.44
COLONIAL GROUP INTERNATIONAL LIMITED,207315.11,102774.42,236839.32,104737.5,325620.74,124012.74,163621.42,115231.13
COLONIAL MANAGEMENT GROUP LP,484276.54,535778.11,595002.19,781875.25,1041626.79,646865.01,565949.96,599202.28
"COLONY STARWOOD HOMES MANAGEMENT, LLC.",1104567.77,812850.44,899664.5,1089918.32,1154122.18,933606.51,920662,1042547.28
"COLONY, INC.",47283.77,59507.13,42614.74,58418.44,71644.48,41328.71,39946.42,123586.47
COLOPLAST CORP.,4636296.95,5170559.63,4861874.7,4687436.58,3665279.34,4936907.76,4392252.62,5920366.46
COLORADO OPEN LANDS,34121.63,22124.78,35833.86,36342.11,32901.84,23556.25,46006,46316.13
COLORADO ROCKIES,249041.73,417311.66,724980.93,615990,392842.79,443317.62,797349.26,676767.35
COLORADO STATE UNIVERSITY GLOBAL CAMPUS,80979.74,91881.12,103499.81,95322.08,104980.51,90659.69,97398.53,82816.52
COLORESCIENCE,680836.28,445271.74,648846.27,530196.82,459678.94,357942.07,575117.86,656099.12
COLTENE WHALEDENT,411964.53,375334.2,409289.44,349526.45,396371.57,385478.67,353445.26,341982.05
COLUMBIA ARTISTS MANAGEMENT,198648.61,233053.23,216864.7,185688.39,189774.41,199698.41,269723.22,155765.72
"COLUMBIA PARTNERS, LLC INVESTMENT MANAGEMENT",87506.31,48813.85,43412.44,45060.26,147094.21,43186.82,49371.51,30054.07
COLUMBIA SOUTHERN UNIVERSITY,962975.97,902536.03,1345646.55,1264412.95,1308446.11,1134750.99,1246656.21,1576104.42
COLUMBIAN MUTUAL,527698.73,607983.49,525257.96,559503.05,652449.2,571796.74,550371.74,494725.77
COLUMBUS BLUE JACKETS HOCKEY CLUB,713216.72,705580.23,625521.61,442287.24,635434.44,836043.23,690700.89,480404.14
COLUMBUS COLLEGE OF ART AND DESIGN,48747.54,22218.97,23976.8,40331.38,54802.88,16876,16044.92,14371.85
COLUMBUS REGIONAL AIRPORT AUTHORITY,86849.09,115540.68,129612.25,111302.04,73329.33,100885.19,130187.41,107876.48
"COLWELL, INC.",42455.21,22596.96,33829.88,30124.47,20189.19,38440.23,40501.74,31291.56
"COM INVESTMENTS, LLC",399237.21,451808.01,1622420.53,680281.73,734033.08,605683.46,868401.18,692564.5
"COMAG MARKETING GROUP, LLC",170704.18,126147.85,198516.53,197040.09,153728.13,159350.89,203469.28,177560.12
COMDOC INC,790455.93,709950.22,747878.14,755067.43,802553.85,731325.13,707641.53,686327.73
COMLINK LIMITED,41015.28,31558.25,42091.28,40031.67,27249.91,35300.73,29805.13,24440.69
"COMLUX AMERICA, LLC",169705.95,127919.44,135825.66,143064.11,167594.01,71106.44,127552.5,61182.12
COMMAND ALKON,657696.22,631330.23,713160.83,636834.52,687258.22,695204.67,612462.18,608033.48
"COMMERCE TECHNOLOGIES, LLC",621286.71,555042.21,537295.59,795006.76,470492.1,391468.41,578859.84,481257.7
COMMERCIAL BANK OF CALIFORNIA,40256.58,38564.71,66820.61,51164.18,71537.43,73731.74,119936.36,82146.66
"COMMERCIAL CASEWORK INDUSTRIES, INC",67113.13,59860.69,82136.32,85475.62,72488.88,71781.2,95804.29,140574.64
COMMERCIAL INSURANCE SOLUTIONS,16529.04,20249.98,12250.11,15040.43,16241.63,27972.4,25082.99,31707.43
COMMODITY SPECIALISTS COMPANY,86926.19,72075.8,66750.72,84666.06,97568,77614.04,90118.86,84030.11
COMMONWEALTH DEVELOPMENT CORP,200804.4,294216.48,241117.12,355955,444437.27,375511.76,399145.02,474975.77
COMMONWEALTH SUPPLY CHAIN ADVISORS LLC,24627.14,34667.7,65804.3,49370.85,56037.09,32098.19,53343.95,52237.21
"COMMUNICATIONS SALES & LEASING, INC",164012.85,152062.13,230642.23,169184.62,184528.64,297099.95,326784.17,319840.36
COMMUNICATIONS WORKERS OF AMERICA,1104885.04,1184312.16,2176805.72,2162793.03,1634885.93,1824039.08,2184701.82,1840559.29
COMMUNISPACE CORPORATION,445133.28,390836.13,489332.02,405632.53,448325.58,366256.82,488857.11,353929.75
"COMMUNITIES IN SCHOOLS OF RICHMOND, INC.",31050.48,28600.11,29352.83,10593.76,34533.27,21945.19,41466.26,23069.28
COMMUNITY 1ST CREDIT UNION,146076.06,130089.19,152838.1,143280.85,122452.11,130956.06,105523.34,119633.66
"COMMUNITY CARE HEALTH NETWORK, INC. D/B/A MATRIX MEDICAL NETWORK",2187261.05,1390346.99,1386109.79,1269840.48,1325138.05,1192438.76,1279036.57,1228895.41
COMMUNITY CHAMPIONS,165225.61,171296.22,116338.59,69872.72,89268.79,42886.52,25956.31,76434.66
"COMMUNITY CONNECTIONS, INC.",109099.97,89348.27,116385.51,231969.3,218930.63,222705.84,201994.58,187329
COMMUNITY COUNSELING SERVICE (CCS),810058.89,924420.98,1123962.85,1406575.65,1460941.55,1519469.53,1704016.78,1509416.94
COMMUNITY HEALTH CHARITIES,80588.32,97443.39,119860.37,112313.74,111100.99,84685.73,66149.59,67047.97
COMMUTER AIR TECH,913998.37,832281.29,919921.62,983873.5,1233635.92,1353174.6,1563093.43,1331890.66
"COMPA INDUSTRIES, INC",127980.89,90846.35,71906.75,38497.81,43370.89,11616.41,8879.53,11859.08
"COMPACT POWER, INC",3519151.97,3481713.96,4100206.39,4743124.91,4513907.39,4306267.22,5800006.79,6756649.28
COMPASS LAB SERVICES,73095.17,103181.4,175866.26,256503.67,203889.85,133334.13,120659.21,71207.78
"COMPASS PRODUCTION PARTNERS, LP",53624.4,68223.48,54795.75,76065.86,108401.65,51816,34635.88,19818.72
COMPETITOR GROUP,1053627.93,1075741.86,1394327.28,939807.98,1692775.15,937000.48,1170157.54,517471.98
"COMPLETE MEDICAL SOLUTIONS, LLC",21190.55,50904.53,46176.28,57266.31,70023.56,31881.46,16684.65,10175.01
COMPLETE RX LTD,269383.22,341713.38,299898.71,372486.61,366233.21,304000.53,299977.13,297755.52
"COMPLEXCARE SOLUTIONS, INC.",613164.28,503529.01,487374.5,401193.58,432981.42,348889.4,371526.85,359877.88
"COMPOSITES ONE, LLC",4504606.63,4316329.71,4604466.78,3967050.58,3865593.38,4596773.85,4692158.72,3800877.78
"COMPREHENSIVE SOFTWARE SYSTEMS, LLC DBA TALISYS",192104.85,132509.71,160819,102486.93,123052.84,129690.2,136448.37,85139.85
COMPUDYNE INC,265028.46,227401.21,217666,259942.58,285398.58,268721.05,305539.44,319624.54
COMPUGROUP MEDICAL INC,505236.81,287401.28,411396.75,319475.16,265151.04,306433.71,355818.98,238406.17
"COMPUSYSTEMS, INC.",44170.51,149998.66,142817.66,86891.54,163397.26,176713.14,195549.59,116660.85
COMPUTRONIX (CANADA) LTD.,128499.82,148120.2,157820.14,180956.47,137639.13,149270.84,202397.9,241676.53
COMTECH (CANADA),32191.62,22652.95,30735.03,29449.2,27830.75,38529.3,59117.84,28010.05
"COMVERGE, INC.",440061.71,558674.64,481030.13,358396.93,298791.75,445001.66,415533.79,352382.47
"CONCENTRIC ADVISORS, INC.",263459.77,342334.36,274472.99,342688.95,318531.13,319385.56,530059.64,575760.37
"CONCIERGE AUCTIONS, LLC",1043286.25,964896.48,950981.32,1237210.42,1365799.84,1123343.36,1324068.74,1325894.45
CONCURRENT COMPUTER CORPORATION,399892.42,371254.6,454771.79,382880.61,352740.16,302059.62,313798.33,259288.41
CONE DRIVE,182867.39,189750.99,165273.87,270031.59,215960.7,199911.08,188117.48,143042.15
"CONEXANT SYSTEMS, INC.",96840.77,174771.66,160878.89,141556.56,188625.58,197837.37,150686.96,173752.37
CONFIE INSURANCE GROUP HOLDINGS,149301.07,117104.73,121002.28,159542.76,147758.96,99954.74,35493.1,24858.45
CONFLUENCE OUTDOOR LLC,108296.19,170714.87,234677.68,184470.22,97227.12,97742.23,153712.67,149105.79
CONFLUENCE TECHNOLOGIES INC,682228.76,890262.34,559459.44,457817.6,901209.93,566908.6,514293.08,508480.74
"CONFLUENT MEDICAL TECHNOLOGIES, INC.",283574.66,178436.19,241227.71,351854.59,391904.45,361191.01,388369.98,351503.67
CONFORMIS INC,858364.34,933890.83,680860.03,584780.13,668352.79,695786.73,636728.21,628465.9
CONGRESS ASSET MANAGEMENT CO,134751.86,93735.63,135999.57,102335.24,112760.63,73649.43,103840.73,74836.74
"CONNECT FIRST, INC.",193160.68,243675.5,289305.83,221114.94,300881.12,228331.77,327819.35,265725.91
"CONNECT HEARING, INC",397602.98,522239.78,478978.58,458360.6,500198.75,643028.9,889885.8,1373105.32
CONNECT MINISTRIES,127272.03,89352.09,315600.88,39105.43,54798.72,73634.59,83005.26,85044.74
"CONNECTOR SPECIALISTS, INC.",97235.19,60211.55,69345.54,65079.79,77569.09,80101.38,100161.89,80715.5
CONNING & COMPANY,639527.5,343054,556571.51,479071.82,775989.66,337007,573157.84,529309.78
"CONSENSYS IMAGING SERVICES, INC",223972.69,234081.92,256619.29,234672.11,291265.48,287428.51,283832.96,191676.72
CONSERVATION INTERNATIONAL FOUNDATION,1350555.34,1308913.43,2067826.44,1580586.53,1558011.94,1432883.4,2210552.04,1499679.94
CONSORTIUM FOR GRADUATE STUDY IN MANAGEMENT,86413.57,86355.51,46416.74,50116.64,89930.97,39782.16,53243.72,93983.72
"CONSUMER HEALTH TECHNOLOGIES, INC.",146991.15,195666.29,171523.25,138922.16,126496.41,326470.44,163659.7,178270.6
CONSUMER TECHNOLOGY ASSOCIATION,317599.37,478428.34,321528.38,391915.41,344785.28,478763.44,394249.16,297252.7
"CONSUMERS UNION OF UNITED STATES, INC.",1201673.68,1238351.66,1485219.63,1052983.26,1393835.87,1078043.72,1620716.44,901752.47
CON-TECH LIGHTING,213928.36,265602.99,291519.01,267889.62,273721.94,197697.03,384849.79,265036.63
"CONTEXTMEDIA, INC.",2335684.53,2290366.49,3137037.38,3323077.22,4059115.19,3449321.87,3073436.89,2570194.89
CONTINENTAL DISC CORPORATION,225480.51,205515.46,233041.64,212772.43,237872.52,276726.43,347962.86,373047.7
CONTINENTAL GRAIN COMPANY,431412.75,394253.8,294080.66,409532.41,376291.64,256709.67,195269.64,256404.16
CONTINENTAL MIDLAND,107400.77,104131.13,134774.57,156500.27,146850.58,220839.09,170371.67,188762.16
"CONTINENTAL MILLS, INC",731821.63,690385.92,663395.51,616455.68,674953.72,748892.55,555036.35,560609.31
"CONTINENTAL MOTORS, INC.",287208.98,238199.36,323533.43,249591.8,314318.51,254204.63,376307.53,317519.75
CONTINENTAL PROPERTIES,793691.85,535702.39,571967.26,755027.68,815410.59,672928.97,894396.16,1007988.62
CONTINENTAL TYRE GROUP LTD.,485227.39,345158.93,392636.57,350509.54,410924.36,335265.36,341003.61,351008.31
CONTINENTAL TYRES OF AUSTRALIA PTY LTD,202187,240521.02,289324.46,259987.23,391413.45,270234.3,267626.38,216657.52
CONTINUUM MANAGED SERVICES HOLDCO LLC,336949.98,303100.6,376866.27,292585.15,404438.23,349489.79,353318.74,316912.54
"CONTRACTORS REGISTER, INC.",811848.53,478361.13,788115.52,523076.01,767918.31,481285.93,564336.38,341611.13
CONTROL SOLUTIONS INC,227014.62,314491.27,249732.07,295573.25,246948.24,303044.77,318099.53,314948.54
"CONTROL SOLUTIONS, LLC",143039.64,99067.01,79486.83,78786.39,90719.33,92043.95,66463.39,72203.46
CONTROL TECHNIQUES,283052.68,204892.14,197125.14,166438.93,187511.26,183313.62,210665.48,213787.96
CONTROLLED CONTAMINATION SERVICES LLC,158014.78,146109.7,126404.1,126662.52,150252.78,139107.73,51159.37,149103.89
CONTROLLED POWER,43238.79,44036.41,47474.11,46559.81,41203,35709.34,38085.64,37087.71
CONVERGEONE HOLDINGS CORP.,2749004.65,2075329.12,2611148.95,2641678.64,2870696.99,2025579.62,2754325.81,2929771.58
CONVERSANT INTELLECTUAL PROPERTY MANAGEMENT INC,204343.12,184683.88,189208.92,125041.59,285658.44,271193.33,211453.19,84799.62
CONVERSIO HEALTH,11208.64,4577.89,3927.95,7508.54,2065.13,4550.42,5137.39,8741.07
CONVEY HEALTH SOLUTIONS,101364.82,72443.62,130423.38,119394.89,95944.08,78661.6,87850.53,165231.51
"CONWAY DATA, INC.",26353.73,41845.24,57651.44,62654.25,61198.03,67077.98,104317.16,60258.29
"CONWAY MACKENZIE, INC.",1370406.76,1326000.98,1505147.81,1476441.8,1812858.98,1723899.4,1957863.99,1992286.8
"COOK ROSS, INC",525634.61,416221.39,487205.49,441593.02,751259.32,295730.87,425534.67,435226.16
"COOLSYSTEMS, INC",228453.53,248243.79,271335.22,301321.5,315719.17,268790.58,314220.08,311514.12
"COOPERATIVE BAPTIST FELLOWSHIP, INC.",306242.98,458458.64,631969.03,584013.22,655601.95,538731.53,632134.16,638923.81
"COOPERRIIS, INC.",164006.73,164720.03,158074.54,134300.9,163606.03,141710.51,149033.26,148417.65
"COOPERSURGICAL, INC.",1473560.54,1359269.89,1706877.44,1558717.7,1706436.18,1826369.44,1974075.6,2260026.96
"COPAC, INC.",60321.7,32651.75,63948.91,45390.77,34885.98,45587.56,48305.4,39224.57
COPART UK LIMITED,92448.04,181379.76,143979.67,146878.72,150228.02,184634.46,225025.69,273690.48
"COPESAN SERVICES, INC.",261229.18,281931.38,265541.83,269112.83,273131.89,337322.83,321074.86,289767.15
COPIC INSURANCE COMPANY,205895.85,158433.77,230985.78,269832.7,285103.36,187725.07,254069.64,242006.33
COPPER CANE LLC,515426.1,570073.97,696409.04,1316383.08,749006.08,719288.57,843522.4,696014.97
COPPER DEVELOPMENT ASSOCIATION INC.,637648.13,612440.24,580766.59,534098.5,523066,211208.68,176335.13,181202.39
COPPERLEAF TECHNOLOGIES,226543.89,202901.47,325261.25,249147.29,291067.55,350210.57,294486.54,251701.41
COR CLEARING,64799.38,73394.39,82900.13,45426.54,85593.1,38914.61,71904.3,48349.16
"COR OPERATING, LLC DBA COUNCIL OAK RESOURCES",18700.09,24356.58,19249.27,24981.56,22681.47,39347.11,31446.8,27556.26
CORCEPT THERAPEUTICS INCORPORATED,470952.69,401618.08,447000.46,425937.93,595557.45,511232.55,605793.94,688115.44
"CORDEN PHARMA COLORADO, INC",141380.98,94062.41,136499.07,137892.35,147380.63,166249.87,234511.47,165948.09
"CORE BRANDS, LLC",521701.67,475712.24,515446.05,410660.64,462151.71,566090.76,498764.71,570110.46
CORE HEALTH AND FITNESS LLC--(DBA-STAR TRAC/STAIRMASTER),720105.21,723786.77,976949.19,1037933.49,877516.37,866824.19,773887.17,815682.68
CORE IMAGING,10392.77,26656.85,16813.31,7461.06,5142.24,15600.22,21554.4,15947.13
CORE NUTRITION LLC,472967.99,377032.79,616911.69,677349.87,813543.27,874218.44,1015730.01,1010967.27
CORE SECURITY SDI CORPORATION,529529.85,840584.96,900116.82,588969.87,550997.07,465463.88,542432.66,613134.72
"CORE SITE, LLC",802540,823164.96,975714.88,957470.84,986863.46,1005035.78,1066527.29,1012957.31
"CORECOMMODITY MANAGEMENT, LLC",76767.47,35967.09,56438.82,31514.85,51985.13,56978.7,55694.01,60580.14
COREGISTICS,38325.09,4234.41,22519.39,17532.22,15723.92,10596.48,31537.4,6511.81
"CORELATION, INC",298781.05,312427.43,298525.76,327964.21,398124.18,316648.48,409045.19,389396.65
COREMEDIA CORPORATION,66156.5,79215.44,60735.13,74287.83,82785.67,85009.08,128674.32,81645.78
CORESTAFF SUPPORT SERVICES,279026.56,242211.79,223133.22,222716.64,229282.73,207515.86,229208.75,200314.08
CORESYSTEMS SOFTWARE USA INC.,41950.96,31989.25,18301.58,13748.13,44757.93,30898.56,28652.84,28750.85
CORMATRIX CARDIOVASCULAR INC.,387527.74,519913.13,396444.01,484738.02,400398.79,477333.14,394118.25,329769.78
"CORNERSTONE RESEARCH &AMP; DEVELOPMENT, INC.",544631.05,277137.66,308497.79,337969.43,305652.85,238209.17,191121.43,208714.57
CORONADO BREWING CO INC,110522.91,89073.71,130277.66,100956.98,85118.04,81705.76,90361.32,88196.37
"CORPORATE BROKERS, LLC",112604.94,183667.53,126168.02,87226.7,129594.87,187367.75,124160.21,178624.55
CORPORATE OFFICE PROPERTIES TRUST,225259.52,221018.9,220886.9,201548.24,225200.34,218070.7,290044.57,198549.25
CORPORATE ONE FCU,260362.51,165636.65,259654.99,280150.76,379050.43,157590.57,283415.26,242104.63
"CORPORATE SYNERGIES GROUP, LLC",90858.7,96530.57,83337.23,94631.24,98197.59,71948.97,82349.87,74668.62
CORPORATE TRAVEL MANAGEMENT LIMITED,265175.88,262357.93,300395.6,220764.29,245373.34,135537.93,259645.72,257485.1
"CORPORATE TRAVEL MANAGEMENT NORTH AMERICA, INC.",277717.29,186191.26,106735.66,141118.59,221703.02,108993.71,76479.57,52759.63
"CORRIDOR CAPITAL, LLC",80061.14,67970.13,69916.31,91572.57,100649.48,86615.07,117875.29,63163.05
"CORRUGATED SYNERGIES INTERNATIONAL, LLC",108648.36,85920.27,114005.69,62442.92,73126.79,58442.64,78185.67,91430.76
CORRUM CAPITAL MANAGEMENT,141021.39,130996.58,148382.52,90529.16,132419.26,132662.93,197557.67,162826.9
CORTEC CORPORATION,159863.73,158483.26,153045.95,151873.48,186381.41,156960.12,209784.08,168185.92
"CORTINA ASSET MANAGEMENT, LLC",65618.61,57313.1,73826.95,45899.51,94301.35,48478.88,74905.99,51292.93
CORTLAND CAPITAL MARKET SERVICES LLC,376008.18,235816.76,222768.6,182222.04,395219.99,248544.28,132909,204284.6
CORTLAND DEVELOPMENT LLC,1576580.13,1993444.9,1892660.03,2421626.5,2581008.15,3214177.94,3283767.85,3724297.9
CORUS GROUP LLC,312439.67,285588.12,266062.29,328261.53,275387.94,272257.66,306255.74,324474.22
CORVAL GROUP,454529.61,300641.17,372624.37,410722.3,448891.59,386768.19,360688.36,443174.36
CORVIAS GROUP LLC,1252069.71,1381633.54,1381531.11,1468027.95,1433469.16,1173104.56,1490255,1586388.38
CORWIL TECHNOLOGY CORPORATION,121044.52,125675.44,126085.07,177736.12,172249.38,133800.17,160423.78,143716.27
COSMA INTERNATIONAL OF AMERICA INC.,1086029.7,952285,1092977,1011854.23,965374.19,853299.14,977339.64,862787.25
COSMETIC DERMATOLOGY INC_US,222047.84,451822.83,200409.12,1173611.41,68460.11,89394.21,147481.26,85744.32
"COTTINGHAM &AMP; BUTLER INSURANCE SERVICES, INC.",839520.4,710592.68,743349.02,724975.08,966705.63,691793.65,862794.11,812292.03
COTTONWOOD RESIDENTIAL,869966.71,975686.69,1413360.18,2214639.53,1736000.18,1482768.72,1574485.92,1968019.22
"COUCHBASE, INC",674537.53,425528.73,427182.35,444204.18,508521.94,511293.18,743483.06,620452.77
COUNCIL CONNECTIONS,66531.28,61829.22,102541.11,97380.74,103068.55,52350.74,85882.22,105420.26
COUNCIL OF PRISON LOCALS,54088.23,62940.6,77134.68,52013.87,54328.29,56853.65,85292.88,124193.14
COUNCIL OF RESIDENTIAL SPECIALISTS - CTE,216063.56,211092.62,215857.57,146681.27,315317.26,296012.29,271328.18,165689.1
COUNSYL,1326529.92,1030038.72,1450025.69,1289370.06,1493827.53,1080820.51,1135198.63,1130244.66
"COUNTERPART INTERNATIONAL, INC.",452163.55,228582.88,377150.5,302450.91,281176.54,351410.42,391764.09,356512.9
COUNTRY MUSIC ASSOCIATION,503936.77,226071.65,411512.36,220470.13,410419.67,268718.08,454745.11,269357.38
"COURTROOM SCIENCES, INC",218240.82,267576.86,284414.96,366284.75,365743.67,326950.44,314462.6,293681.23
"COVARIS, INC.",107174.99,85343.98,93652.19,88649.06,115823.24,74233.4,120330.77,113069.93
COVENTBRIDGE (USA) INC.,662514.14,558540.84,634224.21,493092.5,193662.99,139614.49,164510.28,150956.07
"COVERCRAFT INDUSTRIES, INC.",123936.18,97049.72,118375.23,126954.38,125455.46,195269.13,237983.16,209029.22
COVER-MORE INSURANCE SERVICES PTY. LTD.,233073.94,282998.88,382493.39,390983.24,429525.41,353957.42,533861.85,391506.17
COVISINT CORPORATION,666827.26,781337.76,541211.27,421827.69,496512.37,451963.14,323104.69,282309
"COWTAN AND TOUT, INC.",1524001.51,1451307.1,1537902.64,1618840.62,1417788.08,938198.26,1797465.74,1512358.39
CP BUCKNER STEEL ERECTION,1411377.78,1593038.48,1694860.55,2028838.4,2436944.99,2185513.57,1403430.26,1813806.82
C-P FLEXIBLE PACKAGING,209887.98,229712.83,174682.41,138251.13,105226.08,130963.03,116556.82,85393.13
"CPG INTERNATIONAL, INC.",1502035.77,1865448.86,1433870.91,1451723.1,1614555.05,1993634.01,1869460.78,1888289.23
CPI CARD GROUP,386236.88,379147.82,287361.24,372175.59,415539.08,443524.94,477415.09,356356.81
